Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325623080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623260,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623380,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623560,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623860,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623980,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325624940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625060,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625240,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625420,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625540,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625660,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325625720,NaN,NaN,NaN,NaN,NaN,NaN,NaN
